Supplement,Overview,SideEffects,Precautions,Dosing
Adrafinil,adrafinil is a stimulant related to the drug modafinil (provigil). it's found in some supplements called nootropics  which are marketed for memory or attention.  adrafinil has effects similar to modafinil  which is a prescription drug that is used to treat narcolepsy.  people use adrafinil for aging  athletic performance  mental alertness  obesity  opioid withdrawal  and many other conditions  but there is no good scientific evidence to support these uses. it might also be unsafe.  adrafinil is banned by the world anti-doping agency (wada).,when taken by mouth: adrafinil is possibly unsafe. it might lead to serious heart or psychiatric-related side effects. it may also be addictive.,when taken by mouth: adrafinil is possibly unsafe. it might lead to serious heart or psychiatric-related side effects. it may also be addictive.  pregnancy and breast-feeding: adrafinil is possibly unsafe when taken by mouth while pregnant or breast-feeding. it might cause a miscarriage or lead to developmental problems for the infant. avoid use.  heart conditions: adrafinil is a stimulant that might cause irregular heartbeat or increase blood pressure. this might worsen existing heart conditions. people with heart conditions should avoid use.  elderly people: elderly people might be more likely to experience serious side effects from adrafinil.  high blood pressure: people with high blood pressure should avoid adrafinil. it might increase blood pressure even more.  liver disease: adrafinil is processed in the liver. people with liver disease might be unable to process it properly. this might increase the risk for side effects.  a mental disorder marked by hallucinations and delusion (psychosis): adrafinil might make existing psychosis worse. avoid use.,there isn't enough reliable information to know what an appropriate dose of adrafinil might be. it might also be unsafe. speak with your healthcare provider before use.
Adrenal Extract,adrenal extract is a chemical that is made from the adrenal glands of cows  pigs  and sheep. adrenal glands make certain hormones.  the adrenal glands sit on top of the kidneys. they regulate the body's response to stress by making hormones  including adrenaline and cortisol. but it's not known whether the human body can absorb adrenal extract or how it might work.  people use adrenal extract for addison disease  hay fever  asthma  eczema  depression  fatigue  stress  and many other conditions  but there is no good scientific evidence to support these uses.  adrenal extracts come from cows  pigs  and sheep from slaughterhouses and possibly sick animals. there is concern that some diseases may be transferred to humans  but there are no reports of this.,when taken by mouth: there isn't enough reliable information to know if adrenal extract is safe or what the side effects might be. but there are concerns as adrenal extract is made from adrenal glands gathered from slaughterhouses  and possibly from sick or diseased animals. there is concern that some diseases may be transferred to humans  but there are no reports of this.,when taken by mouth: there isn't enough reliable information to know if adrenal extract is safe or what the side effects might be. but there are concerns as adrenal extract is made from adrenal glands gathered from slaughterhouses  and possibly from sick or diseased animals. there is concern that some diseases may be transferred to humans  but there are no reports of this.  pregnancy and breast-feeding: there isn't enough reliable information to know if adrenal extract is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  low immune system function: adrenal extract might increase the risk of infection in people with weakened immune systems. avoid use.,there isn't enough reliable information to know what an appropriate dose of adrenal extract might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Adrue,adrue is a grass-like plant that is native to turkey  jamaica  and the nile river region. it has a bitter taste and smells a little like lavender. the root is used to make medicine.  adrue is used as a sedative  for river blindness  and for vomiting and digestion problems including nausea  colic  and gas  but there is no good scientific evidence to support these uses.,when taken by mouth: there isn't enough reliable information to know if adrue is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if adrue is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if it is safe to use adrue when pregnant or breast-feeding. stay on the safe side and avoid use.  surgery: adrue might slow down the central nervous system. there is a concern that it might slow down the nervous system too much when combined with anesthesia and other medications used during and after surgery. stop using adrue at least 2 weeks before a scheduled surgery.,the appropriate dose of adrue depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for adrue. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Aegeline,aegeline is a chemical found in the bael plant. it is also made in a laboratory.  despite safety concerns  aegeline has been used for weight loss  athletic performance  and increased energy  but there is no good scientific evidence to support these uses.  aegeline has been included in dietary supplements marketed for weight loss and muscle building. in 2013  the u.s. food and drug administration (fda) issued warning letters to the manufacturer of these products stating that aegeline is not recognized as a lawful ingredient for supplements.,when taken by mouth: aegeline is possibly unsafe. liver damage has been reported in people taking a product containing aegeline. symptoms included fatigue  nausea  stomach pain  dark urine  and jaundice. in some cases  liver damage resulted in death.,when taken by mouth: aegeline is possibly unsafe. liver damage has been reported in people taking a product containing aegeline. symptoms included fatigue  nausea  stomach pain  dark urine  and jaundice. in some cases  liver damage resulted in death. pregnancy and breast-feeding: there isn't enough reliable information to know if aegeline is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,the appropriate dose of aegeline depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for aegeline. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
African Wild Potato,african wild potato is a plant. although the root of the plant resembles a potato  it is not in the same family as the potato. the root of the plant is used to make medicine.  african wild potato is used for urinary tract infections (utis)  enlarged prostate (benign prostatic hyperplasia or bph)  prostate cancer  and many other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: there isn't enough reliable information to know if african wild potato is safe to use. some chemicals found in african wild potato  including beta-sitosterol and hypoxoside  have been studied. these chemicals might cause nausea  indigestion  gas  diarrhea  or constipation.,when taken by mouth: there isn't enough reliable information to know if african wild potato is safe to use. some chemicals found in african wild potato  including beta-sitosterol and hypoxoside  have been studied. these chemicals might cause nausea  indigestion  gas  diarrhea  or constipation.  pregnancy and breast-feeding: there isn't enough reliable information to know if african wild potato is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  heart disease: african wild potato might cause irregular heartbeats in people with heart disease. this might make symptoms worse in people with heart disease.  kidney disease: african wild potato might decrease kidney function. this might make symptoms worse in people with kidney disease.  a rare inherited fat storage disease called sitosterolemia: people with sitosterolemia tend to develop early heart disease and also tend to accumulate cholesterol deposits under the skin. the beta-sitosterol in african wild potato can make this condition worse. if you have sitosterolemia  don't use african wild potato.  surgery: african wild potato might lower blood sugar levels. there is some concern that it might interfere with blood sugar control during and after surgery. stop using african wild potato at least 2 weeks before a scheduled surgery.,the following doses have been studied in scientific research:  by mouth: for benign prostatic hyperplasia (bph): african wild potato  containing 60 to 130 mg of beta-sitosterol  has been taken as 2-3 doses daily.
Agar,"agar is a plant. people use it to make medicine. in japan agar is called ""kanten "" and it is the main ingredient in ""the kanten plan"" or ""the kanten diet.""  people use agar for obesity  diabetes  constipation  yellowing of the skin in infants (neonatal jaundice)  and other conditions  but there is no good scientific evidence to support these uses.  in dentistry  agar is used to make dental impressions.  in manufacturing processes  agar is used as an ingredient in emulsions  suspensions  gels  and certain suppositories.",when taken by mouth: agar is possibly safe for most adults when taken with at least one 8-ounce glass of water. if it is not taken with enough water  agar can swell and block the esophagus or bowel. immediate medical attention is necessary if chest pain  vomiting  or difficulty swallowing or breathing occurs after taking agar.,when taken by mouth: agar is possibly safe for most adults when taken with at least one 8-ounce glass of water. if it is not taken with enough water  agar can swell and block the esophagus or bowel. immediate medical attention is necessary if chest pain  vomiting  or difficulty swallowing or breathing occurs after taking agar. children: agar is possibly safe when given by mouth to infants with neonatal jaundice for up to 7 days.  pregnancy and breast-feeding: there isn't enough reliable information to know if agar is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  bowel blockage (obstruction): agar might make bowel obstruction worse  especially if it isn't taken with enough water or other liquid. get medical advice before taking agar if you have a bowel obstruction.  trouble swallowing: agar might swell up and block the eating tube (esophagus) if it isn't taken with enough water or other liquid. this can be especially dangerous for someone who has trouble swallowing. get medical advice before taking agar if you have a swallowing problem.,the appropriate dose of agar depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for agar. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Agaricus Mushroom,agaricus mushroom (agaricus blazei) is a fungus that originated in brazil. it now grows in china  japan  brazil  and the us. it's used as food and medicine.  agaricus mushroom might strengthen the immune system  fight tumor growth  and work as an antioxidant.  people use agaricus mushroom for hay fever  cancer  heart disease  diabetes  and many other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: agaricus mushroom extract is possibly safe when used for up to 12 months. it's usually well-tolerated. side effects might include stomach discomfort  diarrhea  and nausea.,when taken by mouth: agaricus mushroom extract is possibly safe when used for up to 12 months. it's usually well-tolerated. side effects might include stomach discomfort  diarrhea  and nausea.  pregnancy and breast-feeding: there isn't enough reliable information to know if agaricus mushroom is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  liver disease: agaricus mushroom might cause liver disease or make it worse. don't use it if you have liver disease.  surgery: agaricus mushroom might lower blood sugar. this might interfere with blood sugar control during surgery. stop using agaricus mushroom at least 2 weeks before a scheduled surgery.,agaricus mushroom extract has most often been used by adults in doses of 500 mg by mouth  three times daily. speak with a healthcare provider to find out what dose might be best for a specific condition.
Agave,agave (agave americana) is a plant found in southwestern us and central and south america. it has thick  rigid leaves that form the shape of a rosette.  some chemicals in agave might reduce swelling and prevent the growth of some cancer cells. some chemicals might also cause the uterus to contract.  people use agave for constipation  cancer  male-pattern baldness  diarrhea  and many other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: there isn't enough reliable information to know if agave is safe or what the side effects might be.  when applied to the skin: fresh agave is possibly unsafe. exposure to the fresh agave plant may cause swelling and redness  skin sores  and swelling of small blood vessels within minutes to hours of exposure. the sap appears to be the most irritating part of the plant.,when taken by mouth: there isn't enough reliable information to know if agave is safe or what the side effects might be.  when applied to the skin: fresh agave is possibly unsafe. exposure to the fresh agave plant may cause swelling and redness  skin sores  and swelling of small blood vessels within minutes to hours of exposure. the sap appears to be the most irritating part of the plant.  pregnancy:taking agave by mouth during pregnancy is likely unsafe. it might stimulate the uterus and cause contractions.  breast-feeding: there isn't enough reliable information to know if agave is safe to use when breast-feeding. stay on the safe side and avoid use.,there isn't enough reliable information to know what an appropriate dose of agave might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Agmatine,agmatine is a chemical found in bacteria  plants  and animals  including humans. it's made from the amino acid called arginine.  agmatine seems to help manage different chemicals and pathways in the brain. this might improve certain conditions of the brain and nervous system.  people use agmatine for alcohol use disorder  alzheimer disease  anxiety  depression  parkinson disease  stroke  and many other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: agmatine is possibly safe when used in doses up to 2.67 grams daily for up to 2 months. side effects might include diarrhea  indigestion  and nausea.,when taken by mouth: agmatine is possibly safe when used in doses up to 2.67 grams daily for up to 2 months. side effects might include diarrhea  indigestion  and nausea.  pregnancy and breast-feeding: there isn't enough reliable information to know if agmatine is safe to use when pregnant or breast feeding. stay on the safe side and avoid use.  surgery: agmatine might lower blood sugar and blood pressure. this might interfere with blood sugar and blood pressure control during and after surgery. stop taking agmatine at least 2 weeks before a scheduled surgery.,there isn't enough reliable information to know what an appropriate dose of agmatine might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Agrimony,agrimony (agrimonia eupatoria) is an herb that grows in the northern hemisphere. its dried leaves and seeds have been traditionally used as medicine.  agrimony contains chemicals called tannins  which might benefit certain conditions. it might also have antiviral and antioxidant effects.  people use agrimony for diabetes  liver conditions  stomach problems  and other conditions  but there is no good scientific evidence to support these uses.  don't confuse agrimony with hemp agrimony or potentilla. these are not the same.,when taken by mouth: agrimony is possibly safe when used in doses up to 3 grams daily  short-term  or when its extract is used in doses of 160 mg daily for up to 8 weeks. but taking larger amounts of agrimony is possibly unsafe. agrimony contains chemicals called tannins. in large amounts  tannins might cause stomach irritation and liver damage.  when applied to the skin: agrimony is possibly safe when used short-term. but using large amounts of agrimony is possibly unsafe. agrimony contains chemicals called tannins  which might cause side effects. agrimony can also make some people's skin extra sensitive to sunlight.,when taken by mouth: agrimony is possibly safe when used in doses up to 3 grams daily  short-term  or when its extract is used in doses of 160 mg daily for up to 8 weeks. but taking larger amounts of agrimony is possibly unsafe. agrimony contains chemicals called tannins. in large amounts  tannins might cause stomach irritation and liver damage.  when applied to the skin: agrimony is possibly safe when used short-term. but using large amounts of agrimony is possibly unsafe. agrimony contains chemicals called tannins  which might cause side effects. agrimony can also make some people's skin extra sensitive to sunlight.  pregnancy: agrimony is possibly unsafe when taken by mouth during pregnancy. it might affect the menstrual cycle. avoid use.  breast-feeding: there isn't enough reliable information to know if agrimony is safe to use when breast-feeding. stay on the safe side and avoid use.  surgery: agrimony might affect blood sugar levels. this might interfere with blood sugar control during and after surgery. stop using agrimony at least 2 weeks before a scheduled surgery.,there isn't enough reliable information to know what an appropriate dose of agrimony might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Ajuga Nipponensis,ajuga nipponensis is an herb. the whole plant has been traditionally used as medicine.  people use ajuga nipponensis for cough  inflammation  fluid retention  preventing liver disease  and other purposes  but there is no good scientific evidence to support these uses.,when taken by mouth: there isn't enough reliable information to know if ajuga nipponensis is safe. it might cause side effects such as diarrhea  nausea  and vomiting.,when taken by mouth: there isn't enough reliable information to know if ajuga nipponensis is safe. it might cause side effects such as diarrhea  nausea  and vomiting.  pregnancy and breast-feeding: there isn't enough reliable information to know if ajuga nipponensis is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,there isn't enough reliable information to know what an appropriate dose of ajuga nipponensis might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
