Supplement,Effectiveness,Description
Bacillus Subtilis,Possibly Effective for,Diarrhea in people taking antibiotics (antibiotic-associated diarrhea). Taking B. subtilis by mouth seems to help prevent diarrhea from antibiotics.
Bacopa,,
Bael,Insufficient Evidence for,"Asthma. Research shows that taking a product that contains bael fruit and boswellia gum helps people with asthma to breathe better. It's unclear if the effects are due to bael, to boswellia, or to the combination. Illness from a Shigella bacteria infection (shigellosis). Early research shows that taking dried bael fruit powder for 3 days does not reduce the number of stools in people with diarrhea caused by an infection called shigellosis. Constipation. Depression. Diabetes. Diarrhea. Memory. Snakebite, when applied to the skin. Stomach ache. Other conditions."
Baikal Skullcap,,
Bamboo,,
Banaba,,
Banana,Possibly Effective for,Diarrhea. Eating cooked green bananas might help reduce diarrhea symptoms in young children.
Baobab,,
Barley,Likely Effective for,"Heart disease. Eating 3.6 grams of barley daily as a source of dietary fiber seems to reduce the risk of heart disease. High cholesterol. Eating 3-12 grams of barley daily seems to reduce total and low-density lipoprotein (LDL or ""bad"") cholesterol in adults with high cholesterol."
Barley,Possibly Ineffective for,"Colon cancer, rectal cancer. Eating more barley as a source of fiber doesn't seem to lower the risk of developing colon or rectal cancer."
Basil,,
Bay Leaf,,
Bayberry,Insufficient Evidence for,"Colds. Diarrhea. Nausea. Fever. Sore throat, when used as a gargle. Vaginal discharge, when used as a douche. Skin ulcers and wounds, when applied to the skin. Other conditions."
Bear'S Garlic,Insufficient Evidence for,"Indigestion. Intestinal gas. High blood pressure. ""Hardening of the arteries"" (arteriosclerosis). Skin rashes, when applied to the skin. Other conditions."
Bee Pollen,Possibly Ineffective for,Athletic performance. Taking bee pollen by mouth doesn't seem to improve athletic performance.
Bee Venom,Likely Effective for,"Bee sting allergy. A series of bee venom shots under the skin (bee venom immunotherapy) seems to be effective for reducing reactions to bee stings in people with severe allergy to bee stings. Bee venom immunotherapy provides 98% to 99% protection from reactions to bee stings. Once immunotherapy is stopped, the risk of reaction over the next 5 to 10 years is about 5% to 15%. Purified bee venom for under-the-skin injection is an FDA approved product."
Bee Venom,Possibly Ineffective for,"Multiple sclerosis (MS). Administering live bee stings in gradually increasing doses up to 20 stings given three times weekly does not seem to improve multiples sclerosis. Treatment for 24 weeks does not seem to improve fatigue, disability, or quality of life."
Bee Venom,Insufficient Evidence for,"Stiffness and pain in the shoulderjoint (frozen shoulder). Early research suggests that receiving dilute bee venom injections might improve pain and disability in people with frozen shoulder. But it doesn't seem to improve range of motion. Also, very dilute bee venom injects don't seem to be beneficial. Osteoarthritis. Early research on the use of bee venom for osteoarthritis is mixed. But one large study shows that injecting bee venom into the skin at certain points in the knees and back might improve pain and function in people with osteoarthritis of the knee. Parkinson disease. Early research shows that dilute bee venom injections may improve symptoms in people with Parkinson disease. But if the dose of bee venom is too low, it might not help. Stroke. Bee venom acupuncture seems to improve pain but not movement in people with shoulder pain after stroke. A condition that causes nerve pain, itching, and dark patches of skin on the upper back (notalgia paresthetica). Fibromyalgia. Nerve pain. Painful conditions caused by overuse of tendons (tendinopathy). Rheumatoid arthritis (RA). Other conditions."
Beer,Possibly Effective for,"Heart disease. Drinking moderate amounts of alcohol, including beer, reduces the risk of developing heart disease in otherwise healthy people. But ""moderate amounts"" isn't clearly defined. Memory and thinking skills (cognitive function). Drinking one alcoholic beverage daily seems to improve memory and thinking skills in older males. Heart failure and fluid build up in the body (congestive heart failure or CHF). Drinking 1-4 alcoholic drinks, such as beer, daily is linked with a reduced risk of CHF in people aged 65 years or older. Diabetes. Drinking alcohol, including beer, in light to moderate amounts is linked to a reduced risk of developing type 2 diabetes. It is also linked to a reduced risk of heart disease in those who already have diabetes. Airway infections caused by exercise. Drinking non-alcoholic beer seems to reduce the risk of airway infections caused by exercise in male athletes. A digestive tract infection that can lead to ulcers (Helicobacter pylori or H. pylori). Drinking moderate to high amounts of alcohol, including beer and wine, seems to reduce the risk of H. pylori infection. Low bone mass (osteopenia). Drinking moderate amounts of alcohol, including beer, might improve bone mass in postmenopausal adults. Death from any cause. Drinking moderate amounts of alcohol, including beer, seems to reduce the risk of death from any cause in people who are middle-aged and older."
Beeswax,Insufficient Evidence for,"Small tears in the lining of the anus (anal fissures). Early research shows that applying a mixture of beeswax, honey, and olive oil to the affected area for 12 hours reduces pain, bleeding, and itching due to anal fissures. Burns. Early research shows that applying a gauze with a mixture of beeswax, olive oil, and alkanna to second-degree burns speeds up healing and shortens the time spent in the hospital. Other early research shows that using a particular beeswax cream can decrease itching that occurs when a burn is healing. Diaper rash. Early research shows that applying a mixture of beeswax, honey, and olive oil to the affected area four times daily for 7 days reduces symptoms of diaper rash. Hemorrhoids. Early research shows that applying a mixture of beeswax, honey, and olive oil to the affected area for 12 hours reduces pain, bleeding, and itching due to hemorrhoids. Swelling (inflammation) and sores inside the mouth (oral mucositis). Early research shows that applying a mixture of honey, olive oil-propolis extract, and beeswax to mouth sores caused by cancer treatment helps speed up recovery time in people with severe ulcers. But it may not work as well in people with moderate ulcers. Also, applying honey by itself may work better than the beeswax mixture. Ringworm (Tinea corporis). Early research shows that applying a mixture of beeswax, honey, and olive oil to the affected area three times daily for 4 weeks improves ringworm. Jock itch (tinea cruris). Early research shows that applying a mixture of beeswax, honey, and olive oil to the affected area three times daily for 4 weeks improves jock itch. A common fungal infection of the skin (Tinea versicolor). Early research shows that applying a mixture of beeswax, honey, and olive oil to the affected area three times daily for 4 weeks improves a fungal skin infection called tinea versicolor. Diarrhea. Hiccups. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Pain. Stomach ulcers. Other conditions."
